101;Neena;Kochhar;NKOCHHAR;515.123.4568;1989-09-21;AD_VP;17000.00;;100;90
102;Lex;De Haan;LDEHAAN;515.123.4569;1993-01-13;AD_VP;17000.00;;100;90
108;Nancy;Greenberg;NGREENBE;515.124.4569;1994-08-17;FI_MGR;12000.00;;101;100
114;Den;Raphaely;DRAPHEAL;515.127.4561;1994-12-07;PU_MAN;11000.00;;100;30
145;John;Russell;JRUSSEL;011.44.1344.429268;1996-10-01;SA_MAN;14000.00;0.40;100;80
146;Karen;Partners;KPARTNER;011.44.1344.467268;1997-01-05;SA_MAN;13500.00;0.30;100;80
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;1997-03-10;SA_MAN;12000.00;0.30;100;80
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;1999-10-15;SA_MAN;11000.00;0.30;100;80
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;2000-01-29;SA_MAN;10500.00;0.20;100;80
150;Peter;Tucker;PTUCKER;011.44.1344.129268;1997-01-30;SA_REP;10000.00;0.30;145;80
156;Janette;King;JKING;011.44.1345.429268;1996-01-30;SA_REP;10000.00;0.35;146;80
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;1997-11-11;SA_REP;10500.00;0.25;147;80
168;Lisa;Ozer;LOZER;011.44.1343.929268;1997-03-11;SA_REP;11500.00;0.25;148;80
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;1998-03-23;SA_REP;10000.00;0.20;148;80
174;Ellen;Abel;EABEL;011.44.1644.429267;1996-05-11;SA_REP;11000.00;0.30;149;80
201;Michael;Hartstein;MHARTSTE;515.123.5555;1996-02-17;MK_MAN;13000.00;;100;20
204;Hermann;Baer;HBAER;515.123.8888;1994-06-07;PR_REP;10000.00;;101;70
205;Shelley;Higgins;SHIGGINS;515.123.8080;1994-06-07;AC_MGR;12000.00;;101;110
